"","taxon","sample","depth","diversity_measure","value","lon","lat"
"1","fish","isrwest130721A",144,"abundance",10,NA,NA
"2","fish","isrwest130721A",144,"richness",5,NA,NA
"3","fish","isrwest130721A",144,"sigma",0.00772819193455397,NA,NA
"4","fish","isrwest130721D",76.9,"abundance",12,NA,NA
"5","fish","isrwest130721D",76.9,"richness",5,NA,NA
"6","fish","isrwest130721D",76.9,"sigma",0.464218242095224,NA,NA
"7","fish","isrwest130721G",36,"abundance",86,NA,NA
"8","fish","isrwest130721G",36,"richness",16,NA,NA
"9","fish","isrwest130721G",36,"sigma",4.21826247361185,NA,NA
"10","fish","isrwest130721H",10.5,"abundance",108,NA,NA
"11","fish","isrwest130721H",10.5,"richness",41,NA,NA
"12","fish","isrwest130721H",10.5,"sigma",1.04068087420562,NA,NA
"13","fish","isrwest130721I",21.4,"abundance",137,NA,NA
"14","fish","isrwest130721I",21.4,"richness",27,NA,NA
"15","fish","isrwest130721I",21.4,"sigma",3.21549648632,NA,NA
"16","fish","isrwest140520A",10.7,"abundance",58,NA,NA
"17","fish","isrwest140520A",10.7,"richness",27,NA,NA
"18","fish","isrwest140520A",10.7,"sigma",0.461185331000943,NA,NA
"19","fish","isrwest140520B",26.8,"abundance",155,NA,NA
"20","fish","isrwest140520B",26.8,"richness",26,NA,NA
"21","fish","isrwest140520B",26.8,"sigma",3.98656534370942,NA,NA
"22","fish","isrwest140520C",53.8,"abundance",34,NA,NA
"23","fish","isrwest140520C",53.8,"richness",11,NA,NA
"24","fish","isrwest140520C",53.8,"sigma",4.71864626949987,NA,NA
"25","fish","isrwest140520D",68.9,"abundance",6,NA,NA
"26","fish","isrwest140520D",68.9,"richness",5,NA,NA
"27","fish","isrwest140520D",68.9,"sigma",0.0234870107351228,NA,NA
"28","fish","isrwest140520E",83,"abundance",10,NA,NA
"29","fish","isrwest140520E",83,"richness",6,NA,NA
"30","fish","isrwest140520E",83,"sigma",0.0149077756686561,NA,NA
"31","fish","isrwest140520F",105,"abundance",10,NA,NA
"32","fish","isrwest140520F",105,"richness",6,NA,NA
"33","fish","isrwest140520F",105,"sigma",0.00895689841914691,NA,NA
"34","fish","isrwest141021A",10.3,"abundance",56,NA,NA
"35","fish","isrwest141021A",10.3,"richness",19,NA,NA
"36","fish","isrwest141021A",10.3,"sigma",2.66111599004108,NA,NA
"37","fish","isrwest141021B",32.8,"abundance",141,NA,NA
"38","fish","isrwest141021B",32.8,"richness",42,NA,NA
"39","fish","isrwest141021B",32.8,"sigma",1.44454857100126,NA,NA
"40","fish","isrwest141021C",145.3,"abundance",4,NA,NA
"41","fish","isrwest141021C",145.3,"richness",3,NA,NA
"42","fish","isrwest141021C",145.3,"sigma",0.0195414609133534,NA,NA
"43","fish","isrwest141021D",54.6,"abundance",15,NA,NA
"44","fish","isrwest141021D",54.6,"richness",12,NA,NA
"45","fish","isrwest141021D",54.6,"sigma",3.40896852421111,NA,NA
"46","fish","isrwest141021E",121.4,"abundance",5,NA,NA
"47","fish","isrwest141021E",121.4,"richness",3,NA,NA
"48","fish","isrwest141021E",121.4,"sigma",0.483210237665936,NA,NA
"49","fish","isrwest141021F",71.8,"abundance",17,NA,NA
"50","fish","isrwest141021F",71.8,"richness",6,NA,NA
"51","fish","isrwest141021F",71.8,"sigma",3.74698207822459,NA,NA
"52","fish","isrwest141021G",91,"abundance",1,NA,NA
"53","fish","isrwest141021G",91,"richness",1,NA,NA
"54","fish","isrwest141021G",91,"sigma",0.0896093888935205,NA,NA
"55","fish","isrwest141021H",67.5,"abundance",18,NA,NA
"56","fish","isrwest141021H",67.5,"richness",4,NA,NA
"57","fish","isrwest141021H",67.5,"sigma",1.64586520741962,NA,NA
"58","fish","isrwest141021I",45.5,"abundance",13,NA,NA
"59","fish","isrwest141021I",45.5,"richness",9,NA,NA
"60","fish","isrwest141021I",45.5,"sigma",0.0114312928976834,NA,NA
"61","fish","isrwest180321A",137,"abundance",10,NA,NA
"62","fish","isrwest180321A",137,"richness",4,NA,NA
"63","fish","isrwest180321A",137,"sigma",0.00786592631325655,NA,NA
"64","fish","isrwest180321B",118.2,"abundance",3,NA,NA
"65","fish","isrwest180321B",118.2,"richness",3,NA,NA
"66","fish","isrwest180321B",118.2,"sigma",0.0521168099182725,NA,NA
"67","fish","isrwest180321C",92.3,"abundance",9,NA,NA
"68","fish","isrwest180321C",92.3,"richness",6,NA,NA
"69","fish","isrwest180321C",92.3,"sigma",0.249294927583836,NA,NA
"70","fish","isrwest180321D",70.6,"abundance",5,NA,NA
"71","fish","isrwest180321D",70.6,"richness",5,NA,NA
"72","fish","isrwest180321D",70.6,"sigma",0.0432486754923437,NA,NA
"73","fish","isrwest180321E",53.3,"abundance",119,NA,NA
"74","fish","isrwest180321E",53.3,"richness",17,NA,NA
"75","fish","isrwest180321E",53.3,"sigma",3.2467285597699,NA,NA
"76","fish","isrwest180321F",34.3,"abundance",51,NA,NA
"77","fish","isrwest180321F",34.3,"richness",20,NA,NA
"78","fish","isrwest180321F",34.3,"sigma",1.26621448699994,NA,NA
"79","fish","isrwest180321G",140,"abundance",5,NA,NA
"80","fish","isrwest180321G",140,"richness",3,NA,NA
"81","fish","isrwest180321G",140,"sigma",0.483210237665936,NA,NA
"82","fish","isrwest180321H",8.1,"abundance",159,NA,NA
"83","fish","isrwest180321H",8.1,"richness",25,NA,NA
"84","fish","isrwest180321H",8.1,"sigma",2.21759557559055,NA,NA
"85","fish","isrwest240220A",10,"abundance",33,NA,NA
"86","fish","isrwest240220A",10,"richness",15,NA,NA
"87","fish","isrwest240220A",10,"sigma",1.4366574938553,NA,NA
"88","fish","isrwest240220B",20,"abundance",80,NA,NA
"89","fish","isrwest240220B",20,"richness",20,NA,NA
"90","fish","isrwest240220B",20,"sigma",4.17128006698846,NA,NA
"91","fish","isrwest240220C",40.4,"abundance",34,NA,NA
"92","fish","isrwest240220C",40.4,"richness",13,NA,NA
"93","fish","isrwest240220C",40.4,"sigma",1.22406978230099,NA,NA
"94","fish","isrwest240220D",60.9,"abundance",9,NA,NA
"95","fish","isrwest240220D",60.9,"richness",2,NA,NA
"96","fish","isrwest240220D",60.9,"sigma",1.57430216938532,NA,NA
"97","fish","isrwest240220E",76.6,"abundance",43,NA,NA
"98","fish","isrwest240220E",76.6,"richness",14,NA,NA
"99","fish","isrwest240220E",76.6,"sigma",1.53880527130186,NA,NA
"100","fish","isrwest240220F",103.7,"abundance",3,NA,NA
"101","fish","isrwest240220F",103.7,"richness",2,NA,NA
"102","fish","isrwest240220F",103.7,"sigma",0.0150563559131666,NA,NA
"103","fish","isrwest260122A",140,"abundance",8,NA,NA
"104","fish","isrwest260122A",140,"richness",4,NA,NA
"105","fish","isrwest260122A",140,"sigma",4.60925448473406,NA,NA
"106","fish","isrwest260122B",114,"abundance",6,NA,NA
"107","fish","isrwest260122B",114,"richness",4,NA,NA
"108","fish","isrwest260122B",114,"sigma",0.95418307142064,NA,NA
"109","fish","isrwest260122C",149,"abundance",3,NA,NA
"110","fish","isrwest260122C",149,"richness",3,NA,NA
"111","fish","isrwest260122C",149,"sigma",0.0521168099182725,NA,NA
"112","fish","isrwest260122D",92,"abundance",6,NA,NA
"113","fish","isrwest260122D",92,"richness",5,NA,NA
"114","fish","isrwest260122D",92,"sigma",0.0234870107351228,NA,NA
"115","fish","isrwest260122E",71,"abundance",6,NA,NA
"116","fish","isrwest260122E",71,"richness",5,NA,NA
"117","fish","isrwest260122E",71,"sigma",0.0234870107351228,NA,NA
"118","fish","isrwest260122F",48.4,"abundance",72,NA,NA
"119","fish","isrwest260122F",48.4,"richness",22,NA,NA
"120","fish","isrwest260122F",48.4,"sigma",2.00884892495261,NA,NA
"121","fish","isrwest260122G",34.4,"abundance",30,NA,NA
"122","fish","isrwest260122G",34.4,"richness",16,NA,NA
"123","fish","isrwest260122G",34.4,"sigma",1.33597569255178,NA,NA
"124","fish","isrwest260122H",16.8,"abundance",48,NA,NA
"125","fish","isrwest260122H",16.8,"richness",20,NA,NA
"126","fish","isrwest260122H",16.8,"sigma",2.57886411432852,NA,NA
"127","fish","isrwest260122I",20.1,"abundance",50,NA,NA
"128","fish","isrwest260122I",20.1,"richness",21,NA,NA
"129","fish","isrwest260122I",20.1,"sigma",2.10872892329312,NA,NA
"130","fish","isrwest260122J",40.9,"abundance",32,NA,NA
"131","fish","isrwest260122J",40.9,"richness",11,NA,NA
"132","fish","isrwest260122J",40.9,"sigma",1.68627870496705,NA,NA
"133","sponges","10q10",10,"abundance",0,NA,NA
"134","sponges","10q10",10,"richness",0,NA,NA
"135","sponges","10q10",10,"sigma",NA,NA,NA
"136","sponges","10q11",10,"abundance",1,NA,NA
"137","sponges","10q11",10,"richness",1,NA,NA
