"","taxon","sample","depth","lon","lat","diversity_measure","value"
"1","fish","isrnort010920A",123,34.954783,29.534283,"abundance",10
"2","fish","isrnort010920A",123,34.954783,29.534283,"richness",5
"3","fish","isrnort010920A",123,34.954783,29.534283,"sigma",0.0112509341709317
"4","fish","isrnort010920B",106,34.958767,29.533467,"abundance",7
"5","fish","isrnort010920B",106,34.958767,29.533467,"richness",5
"6","fish","isrnort010920B",106,34.958767,29.533467,"sigma",0.0133849612119
"7","fish","isrnort010920C",80.6,34.959617,29.5352,"abundance",7
"8","fish","isrnort010920C",80.6,34.959617,29.5352,"richness",3
"9","fish","isrnort010920C",80.6,34.959617,29.5352,"sigma",2.20446273117728
"10","fish","isrnort010920D",62.2,34.963933,29.536483,"abundance",22
"11","fish","isrnort010920D",62.2,34.963933,29.536483,"richness",9
"12","fish","isrnort010920D",62.2,34.963933,29.536483,"sigma",5.26403298002345
"13","fish","isrnort010920E",43.6,34.967567,29.539467,"abundance",9
"14","fish","isrnort010920E",43.6,34.967567,29.539467,"richness",6
"15","fish","isrnort010920E",43.6,34.967567,29.539467,"sigma",0.249294927583836
"16","fish","isrnort010920F",31.2,34.9673,29.5422,"abundance",28
"17","fish","isrnort010920F",31.2,34.9673,29.5422,"richness",10
"18","fish","isrnort010920F",31.2,34.9673,29.5422,"sigma",1.04063364420211
"19","fish","isrnort010920G",19.6,34.97335,29.542883,"abundance",252
"20","fish","isrnort010920G",19.6,34.97335,29.542883,"richness",11
"21","fish","isrnort010920G",19.6,34.97335,29.542883,"sigma",2.24985251615261
"22","fish","isrnort120721A",137,34.96095,29.531067,"abundance",18
"23","fish","isrnort120721A",137,34.96095,29.531067,"richness",6
"24","fish","isrnort120721A",137,34.96095,29.531067,"sigma",2.01377568256343
"25","fish","isrnort120721B",128,34.96285,29.531867,"abundance",9
"26","fish","isrnort120721B",128,34.96285,29.531867,"richness",8
"27","fish","isrnort120721B",128,34.96285,29.531867,"sigma",0.0347179056475233
"28","fish","isrnort120721C",110,34.963733,29.531867,"abundance",39
"29","fish","isrnort120721C",110,34.963733,29.531867,"richness",13
"30","fish","isrnort120721C",110,34.963733,29.531867,"sigma",3.07580512637899
"31","fish","isrnort120721D",81.4,34.965183,29.533483,"abundance",9
"32","fish","isrnort120721D",81.4,34.965183,29.533483,"richness",5
"33","fish","isrnort120721D",81.4,34.965183,29.533483,"sigma",0.0118113742862913
"34","fish","isrnort120721E",60.1,34.966883,29.536,"abundance",108
"35","fish","isrnort120721E",60.1,34.966883,29.536,"richness",26
"36","fish","isrnort120721E",60.1,34.966883,29.536,"sigma",1.65079694376109
"37","fish","isrnort120721F",38.9,34.969867,29.5405,"abundance",8
"38","fish","isrnort120721F",38.9,34.969867,29.5405,"richness",5
"39","fish","isrnort120721F",38.9,34.969867,29.5405,"sigma",0.0326061737849961
"40","fish","isrnort120721H",27.9,34.96865,29.5427,"abundance",43
"41","fish","isrnort120721H",27.9,34.96865,29.5427,"richness",16
"42","fish","isrnort120721H",27.9,34.96865,29.5427,"sigma",3.56445452851638
"43","fish","isrnort120721I",16.5,34.969,29.54435,"abundance",19
"44","fish","isrnort120721I",16.5,34.969,29.54435,"richness",6
"45","fish","isrnort120721I",16.5,34.969,29.54435,"sigma",1.68709861854755
"46","fish","isrnort130520A",16.4,34.9649,29.54525,"abundance",31
"47","fish","isrnort130520A",16.4,34.9649,29.54525,"richness",13
"48","fish","isrnort130520A",16.4,34.9649,29.54525,"sigma",1.01884305609695
"49","fish","isrnort130520B",29.7,34.9646,29.5435,"abundance",14
"50","fish","isrnort130520B",29.7,34.9646,29.5435,"richness",10
"51","fish","isrnort130520B",29.7,34.9646,29.5435,"sigma",1.43995052210546
"52","fish","isrnort130520C",47.5,34.964033,29.539167,"abundance",25
"53","fish","isrnort130520C",47.5,34.964033,29.539167,"richness",8
"54","fish","isrnort130520C",47.5,34.964033,29.539167,"sigma",0.854520612529952
"55","fish","isrnort130520D",69.4,34.960617,29.537383,"abundance",8
"56","fish","isrnort130520D",69.4,34.960617,29.537383,"richness",6
"57","fish","isrnort130520D",69.4,34.960617,29.537383,"sigma",0.0136396708168165
"58","fish","isrnort130520E",83.3,34.96015,29.534133,"abundance",7
"59","fish","isrnort130520E",83.3,34.96015,29.534133,"richness",5
"60","fish","isrnort130520E",83.3,34.96015,29.534133,"sigma",1.43376250599051
"61","fish","isrnort130520F",115,34.955683,29.534083,"abundance",18
"62","fish","isrnort130520F",115,34.955683,29.534083,"richness",2
"63","fish","isrnort130520F",115,34.955683,29.534083,"sigma",0.744061420941681
"64","fish","isrnort130520G",54.6,34.9585,29.540717,"abundance",12
"65","fish","isrnort130520G",54.6,34.9585,29.540717,"richness",7
"66","fish","isrnort130520G",54.6,34.9585,29.540717,"sigma",1.93292824772171
"67","fish","isrnort131021A",141,34.950167,29.533267,"abundance",10
"68","fish","isrnort131021A",141,34.950167,29.533267,"richness",4
"69","fish","isrnort131021A",141,34.950167,29.533267,"sigma",6.17727702390082
"70","fish","isrnort131021B",119.9,34.954433,29.534217,"abundance",6
"71","fish","isrnort131021B",119.9,34.954433,29.534217,"richness",6
"72","fish","isrnort131021B",119.9,34.954433,29.534217,"sigma",0.111895706761762
