"","taxon","sample","depth","lon","lat","abundance","richness","sigma"
"1","fish","isrnort010920A",123,34.954783,29.534283,10,5,0.0112509341709317
"2","fish","isrnort010920B",106,34.958767,29.533467,7,5,0.0133849612119
"3","fish","isrnort010920C",80.6,34.959617,29.5352,7,3,2.20446273117728
"4","fish","isrnort010920D",62.2,34.963933,29.536483,22,9,5.26403298002345
"5","fish","isrnort010920E",43.6,34.967567,29.539467,9,6,0.249294927583836
"6","fish","isrnort010920F",31.2,34.9673,29.5422,28,10,1.04063364420211
"7","fish","isrnort010920G",19.6,34.97335,29.542883,252,11,2.24985251615261
"8","fish","isrnort120721A",137,34.96095,29.531067,18,6,2.01377568256343
"9","fish","isrnort120721B",128,34.96285,29.531867,9,8,0.0347179056475233
"10","fish","isrnort120721C",110,34.963733,29.531867,39,13,3.07580512637899
"11","fish","isrnort120721D",81.4,34.965183,29.533483,9,5,0.0118113742862913
"12","fish","isrnort120721E",60.1,34.966883,29.536,108,26,1.65079694376109
"13","fish","isrnort120721F",38.9,34.969867,29.5405,8,5,0.0326061737849961
"14","fish","isrnort120721H",27.9,34.96865,29.5427,43,16,3.56445452851638
"15","fish","isrnort120721I",16.5,34.969,29.54435,19,6,1.68709861854755
"16","fish","isrnort130520A",16.4,34.9649,29.54525,31,13,1.01884305609695
"17","fish","isrnort130520B",29.7,34.9646,29.5435,14,10,1.43995052210546
"18","fish","isrnort130520C",47.5,34.964033,29.539167,25,8,0.854520612529952
"19","fish","isrnort130520D",69.4,34.960617,29.537383,8,6,0.0136396708168165
"20","fish","isrnort130520E",83.3,34.96015,29.534133,7,5,1.43376250599051
"21","fish","isrnort130520F",115,34.955683,29.534083,18,2,0.744061420941681
"22","fish","isrnort130520G",54.6,34.9585,29.540717,12,7,1.93292824772171
"23","fish","isrnort131021A",141,34.950167,29.533267,10,4,6.17727702390082
"24","fish","isrnort131021B",119.9,34.954433,29.534217,6,6,0.111895706761762
"25","fish","isrnort131021C",92.1,34.953567,29.536117,10,6,0.0149077756686561
"26","fish","isrnort131021D",72.6,34.954433,29.538867,11,6,1.62162174116599
"27","fish","isrnort131021E",57,34.956667,29.5409,25,11,3.67014842280136
"28","fish","isrnort131021F",34,34.959883,29.5449,51,15,2.31501735488579
"29","fish","isrnort131021G",125,34.956683,29.533517,15,7,0.514154434528056
"30","fish","isrnort131021H",16.4,34.962033,29.546517,85,17,2.22863307605197
"31","fish","isrnort170321A",137.8,34.960217,29.530867,4,3,0.0195414609133534
"32","fish","isrnort170321B",122.7,34.961483,29.531583,16,7,0.765968498167255
"33","fish","isrnort170321C",89.6,34.962933,29.533283,9,4,0.294985776600761
"34","fish","isrnort170321D",66.4,34.96485,29.536017,15,9,1.31282621668595
"35","fish","isrnort170321E",45.7,34.966833,29.53925,14,8,0.723062014301059
"36","fish","isrnort170321F",25.1,34.9699,29.54315,13,8,0.0126323761280786
"37","fish","isrnort170321G",15.5,34.96715,29.544733,18,12,1.36008512139442
"38","fish","isrnort170321H",112,34.95935,29.533083,4,3,0.0195414609133534
"39","fish","isrnort230220B",28.2,34.96355,29.543083,28,10,0.978262124286978
"40","fish","isrnort230220C",15.2,34.964333,29.544383,20,10,1.1497852585976
"41","fish","isrnort230220D",47.8,34.96189,29.540413,4,4,0.0151422846952663
"42","fish","isrnort230220E",72.4,34.96004,29.535736,9,7,0.0176782790462174
"43","fish","isrnort230220F",91.8,34.958805,29.533348,2,1,0.00941169561488163
"44","fish","isrnort231220B",123,34.966033,29.53105,13,4,0.982630727715292
"45","fish","isrnort231220C",142,34.9652,29.530133,3,2,0.0150563559131666
"46","fish","isrnort231220D",107,34.967117,29.531333,4,3,0.0195414609133534
"47","fish","isrnort231220E",71.9,34.968417,29.533717,10,6,0.00895689841914691
"48","fish","isrnort231220F",50.8,34.97085,29.53745,13,9,0.0318279762905367
"49","fish","isrnort231220G",31.7,34.972517,29.541517,56,11,1.85285851878558
"50","fish","isrnort231220H",25.6,34.973833,29.542183,47,13,1.64880059879301
"51","fish","isrnort231220I",84.2,34.968967,29.531767,14,8,2.46596867760521
"52","fish","isrnort270122A",135,34.952824,29.532963,7,5,1.43376250599051
"53","fish","isrnort270122B",123,34.95823,29.53224,6,4,0.95418307142064
"54","fish","isrnort270122C",135,34.96271,29.530563,9,7,1.75214437552589
"55","fish","isrnort270122D",87.2,34.954906,29.535656,12,6,2.10237564690081
"56","fish","isrnort270122E",72.5,34.958298,29.536814,17,7,0.889570786359743
"57","fish","isrnort270122F",50,34.955708,29.541029,22,9,0.0156429974304637
"58","fish","isrnort270122G",68.4,34.96197,29.53498,12,5,0.89159933962823
"59","fish","isrnort270122H",40.6,34.95998,29.542603,32,9,4.19760937926989
"60","fish","isrnort270122I",32.3,34.96076,29.54403,38,7,0.532687324267195
"61","fish","isrnort270122J",22.1,34.957428,29.546385,10,5,0.0112509341709317
"62","fish","isrwest020920A",135,34.94395,29.5291,8,5,0.0326061737849961
"63","fish","isrwest020920B",117,34.946217,29.532133,9,4,0.0132173373949987
"64","fish","isrwest020920C",86.2,34.9482,29.534383,5,5,0.0432486754923437
"65","fish","isrwest020920D",70,34.94875,29.536583,27,9,1.55772799009887
"66","fish","isrwest020920E",56.7,34.949417,29.538383,10,8,0.0203508702201317
"67","fish","isrwest020920F",37.5,34.946767,29.536067,58,16,3.15274108905588
"68","fish","isrwest020920G",10.5,34.945933,29.537133,31,11,1.47881830831905
"69","fish","isrwest130721A",144,34.929317,29.5063,10,5,0.00772819193455397
"70","fish","isrwest130721D",76.9,34.927367,29.5087,12,5,0.464218242095224
"71","fish","isrwest130721E",94.4,34.931467,29.51095,35,17,1.83058705147954
"72","fish","isrwest130721F",50.6,34.929733,29.51405,62,27,0.891841203243023
"73","fish","isrwest130721G",36,34.924767,29.51005,86,16,4.21826247361185
"74","fish","isrwest130721H",10.5,34.921029,29.506497,108,41,1.04068087420562
"75","fish","isrwest130721I",21.4,34.922367,29.507567,137,27,3.21549648632
"76","fish","isrwest140520A",10.7,34.921067,29.506717,58,27,0.461185331000943
"77","fish","isrwest140520B",26.8,34.924433,29.50955,155,26,3.98656534370942
"78","fish","isrwest140520C",53.8,34.919817,29.5037,34,11,4.71864626949987
"79","fish","isrwest140520D",68.9,34.923683,29.50695,6,5,0.0234870107351228
"80","fish","isrwest140520E",83,34.922017,29.500833,10,6,0.0149077756686561
"81","fish","isrwest140520F",105,34.922267,29.4991,10,6,0.00895689841914691
"82","fish","isrwest141021A",10.3,34.920017,29.50565,56,19,2.66111599004108
"83","fish","isrwest141021B",32.8,34.922017,29.506817,141,42,1.44454857100126
"84","fish","isrwest141021C",145.3,34.927517,29.5042,4,3,0.0195414609133534
"85","fish","isrwest141021D",54.6,34.923167,29.5075,15,12,3.40896852421111
"86","fish","isrwest141021E",121.4,34.926483,29.503667,5,3,0.483210237665936
"87","fish","isrwest141021F",71.8,34.9229,29.505467,17,6,3.74698207822459
"88","fish","isrwest141021G",91,34.92705,29.5061,1,1,0.0896093888935205
"89","fish","isrwest141021H",67.5,34.92395,29.507717,18,4,1.64586520741962
"90","fish","isrwest141021I",45.5,34.922633,29.50725,13,9,0.0114312928976834
"91","fish","isrwest180321A",137,34.9224,29.4975,10,4,0.00786592631325655
"92","fish","isrwest180321B",118.2,34.9201,29.4959,3,3,0.0521168099182725
"93","fish","isrwest180321C",92.3,34.921,29.498733,9,6,0.249294927583836
"94","fish","isrwest180321D",70.6,34.917233,29.498433,5,5,0.0432486754923437
"95","fish","isrwest180321E",53.3,34.918917,29.50145,119,17,3.2467285597699
