"","fish.model","fish.mean_fun","fish.err_dist","fish.s1","fish.s2","fish.q","fish.p","fish.b","sponges.model","sponges.mean_fun","sponges.err_dist","sponges.s1","sponges.s2","sponges.q","sponges.p","sponges.b","stony.corals.model","stony.corals.mean_fun","stony.corals.err_dist","stony.corals.s1","stony.corals.s2","stony.corals.q","stony.corals.p","stony.corals.b","soft.corals.model","soft.corals.mean_fun","soft.corals.err_dist","soft.corals.s1","soft.corals.s2","soft.corals.q","soft.corals.p","soft.corals.b"
"28","mixgaussian_zinb","mixgaussian","zinb",36.0815653008604,23.0233500376888,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",36.0815653008604,23.0233500376888,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",36.0815653008604,23.0233500376888,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",36.0815653008604,23.0233500376888,NA,NA,NA
"30","mixgaussian_zinbl","mixgaussian","zinbl",36.0813824426063,23.0233943070287,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",36.0813824426063,23.0233943070287,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",36.0813824426063,23.0233943070287,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",36.0813824426063,23.0233943070287,NA,NA,NA
"42","sech_negbin","sech","negbin",NA,NA,NA,0.00215332478546347,NA,"sech_negbin","sech","negbin",NA,NA,NA,0.00215332478546347,NA,"sech_negbin","sech","negbin",NA,NA,NA,0.00215332478546347,NA,"sech_negbin","sech","negbin",NA,NA,NA,0.00215332478546347,NA
"44","sech_zinb","sech","zinb",NA,NA,NA,0.0274600380447217,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.0274600380447217,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.0274600380447217,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.0274600380447217,NA
"20","hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA
"34","modskurt_negbin","modskurt","negbin",NA,NA,0.00306372785489658,0.00381491159607132,0.000929624120717354,"modskurt_negbin","modskurt","negbin",NA,NA,0.00306372785489658,0.00381491159607132,0.000929624120717354,"modskurt_negbin","modskurt","negbin",NA,NA,0.00306372785489658,0.00381491159607132,0.000929624120717354,"modskurt_negbin","modskurt","negbin",NA,NA,0.00306372785489658,0.00381491159607132,0.000929624120717354
"18","hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA
"36","modskurt_zinb","modskurt","zinb",NA,NA,0.999999999792034,160.460044888307,9.64311534634352e-05,"modskurt_zinb","modskurt","zinb",NA,NA,0.999999999792034,160.460044888307,9.64311534634352e-05,"modskurt_zinb","modskurt","zinb",NA,NA,0.999999999792034,160.460044888307,9.64311534634352e-05,"modskurt_zinb","modskurt","zinb",NA,NA,0.999999999792034,160.460044888307,9.64311534634352e-05
"48","sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.00500979802003071,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.00500979802003071,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.00500979802003071,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,0.00500979802003071,NA
"22","hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA
