"","fish.model","fish.mean_fun","fish.err_dist","fish.s1","fish.s2","fish.q","fish.p","fish.b","sponges.model","sponges.mean_fun","sponges.err_dist","sponges.s1","sponges.s2","sponges.q","sponges.p","sponges.b","stony.corals.model","stony.corals.mean_fun","stony.corals.err_dist","stony.corals.s1","stony.corals.s2","stony.corals.q","stony.corals.p","stony.corals.b","soft.corals.model","soft.corals.mean_fun","soft.corals.err_dist","soft.corals.s1","soft.corals.s2","soft.corals.q","soft.corals.p","soft.corals.b"
"10","gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA
"12","gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA
"18","hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA
"16","gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA
"14","gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA
"42","sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA,"sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA,"sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA,"sech_negbin","sech","negbin",NA,NA,NA,454078.832113819,NA
"2","beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA
"28","mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",18.2668151328876,0.0148514844970234,NA,NA,NA
"34","modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05,"modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05,"modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05,"modskurt_negbin","modskurt","negbin",NA,NA,0.000424628484401984,0.179596757285261,4.39887838758499e-05
"44","sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.179376672296029,NA
"20","hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA
"4","beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA
"46","sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,0.179616323382234,NA
