"","OpCode","sea","species","MaxN","depth","temperature","lat_y","lon_x"
"1","israchz040221A","med","Seriola dumerili",2,11.4,18,33.037983,35.079183
"2","israchz040221A","med","Coris julis",14,11.4,18,33.037983,35.079183
"3","israchz040221A","med","Thalassoma pavo",1,11.4,18,33.037983,35.079183
"4","israchz040221A","med","Parupeneus forsskali",3,11.4,18,33.037983,35.079183
"5","israchz040221A","med","Lagocephalus sceleratus",3,11.4,18,33.037983,35.079183
"6","israchz040221A","med","Torquigener flavimaculosus",4,11.4,18,33.037983,35.079183
"7","israchz040221B","med","Coris julis",2,20.4,18,33.037467,35.075933
"8","israchz040221B","med","Thalassoma pavo",1,20.4,18,33.037467,35.075933
"9","israchz040221B","med","Pterois miles",1,20.4,18,33.037467,35.075933
"10","israchz040221B","med","Epinephelus costae",3,20.4,18,33.037467,35.075933
"11","israchz040221B","med","Siganus luridus",5,20.4,18,33.037467,35.075933
"12","israchz040221B","med","Pagrus caeruleostictus",2,20.4,18,33.037467,35.075933
"13","israchz040221B","med","Lagocephalus sceleratus",5,20.4,18,33.037467,35.075933
"14","israchz040221B","med","Torquigener flavimaculosus",3,20.4,18,33.037467,35.075933
"15","israchz040221C","med","Fistularia commersonii",1,33.9,18,33.0418,35.050833
"16","israchz040221C","med","Epinephelus costae",2,33.9,18,33.0418,35.050833
"17","israchz040221C","med","Pagrus caeruleostictus",1,33.9,18,33.0418,35.050833
"18","israchz040221C","med","Lagocephalus sceleratus",5,33.9,18,33.0418,35.050833
"19","israchz040221D","med","Lagocephalus guentheri",3,51.4,18,33.05675,35.056617
"20","israchz040221D","med","Lagocephalus sceleratus",1,51.4,18,33.05675,35.056617
"21","israchz040221E","med","Boops boops",2,66.2,18,33.054067,35.039117
"22","israchz040221E","med","Pagellus erythrinus",3,66.2,18,33.054067,35.039117
"23","israchz040221E","med","Saurida lessepsianus",1,66.2,18,33.054067,35.039117
"24","israchz040221E","med","Lagocephalus sceleratus",8,66.2,18,33.054067,35.039117
"25","israchz040221F","med","Nemipterus randalli",13,86.1,18,33.053817,35.033117
"26","israchz040221F","med","Pagellus erythrinus",3,86.1,18,33.053817,35.033117
"27","israchz040221F","med","Lagocephalus guentheri",2,86.1,18,33.053817,35.033117
"28","israchz040221F","med","Lagocephalus suezensis",1,86.1,18,33.053817,35.033117
"29","israchz040221G","med","Pagellus acarne",5,123.3,18,33.055867,35.038783
"30","israchz040221G","med","Pagellus erythrinus",1,123.3,18,33.055867,35.038783
"31","israchz040221G","med","Trichiurus lepturus",1,123.3,18,33.055867,35.038783
"32","israchz040221H","med","Trachurus mediterraneus",1,132.4,17,33.05495,35.03275
"33","israchz040221H","med","Scomber colias",26,132.4,17,33.05495,35.03275
"34","israchz040221H","med","Boops boops",2,132.4,17,33.05495,35.03275
"35","israchz040221H","med","Dentex macrophthalmus",1,132.4,17,33.05495,35.03275
"36","israchz040221H","med","Pagellus acarne",15,132.4,17,33.05495,35.03275
"37","israchz040221H","med","Pagellus erythrinus",2,132.4,17,33.05495,35.03275
"38","israchz040221H","med","Saurida lessepsianus",1,132.4,17,33.05495,35.03275
"39","israchz040221H","med","Trichiurus lepturus",1,132.4,17,33.05495,35.03275
"40","israchz091121A","med","Thalassoma pavo",3,9.4,24,33.044933,35.08615
"41","israchz091121A","med","Parupeneus forsskali",13,9.4,24,33.044933,35.08615
"42","israchz091121A","med","Siganus luridus",2,9.4,24,33.044933,35.08615
"43","israchz091121A","med","Siganus rivulatus",50,9.4,24,33.044933,35.08615
"44","israchz091121A","med","Diplodus sargus",5,9.4,24,33.044933,35.08615
"45","israchz091121A","med","Torquigener flavimaculosus",1,9.4,24,33.044933,35.08615
"46","israchz091121B","med","Fistularia commersonii",1,30,24,33.047083,35.0758
"47","israchz091121B","med","Pagellus acarne",2,30,24,33.047083,35.0758
"48","israchz091121B","med","Pagrus caeruleostictus",4,30,24,33.047083,35.0758
"49","israchz091121B","med","Lagocephalus suezensis",16,30,24,33.047083,35.0758
"50","israchz091121B","med","Torquigener flavimaculosus",1,30,24,33.047083,35.0758
"51","israchz091121C","med","Seriola dumerili",3,48.2,22,33.05325,35.0463
"52","israchz091121C","med","Lagocephalus sceleratus",5,48.2,22,33.05325,35.0463
"53","israchz091121D","med","Nemipterus randalli",8,71.7,19,33.058783,35.0482
"54","israchz091121D","med","Lagocephalus suezensis",2,71.7,19,33.058783,35.0482
"55","israchz091121E","med","Nemipterus randalli",2,88,17,33.056933,35.041367
"56","israchz091121E","med","Lagocephalus sceleratus",1,88,17,33.056933,35.041367
"57","israchz091121F","med","Nemipterus randalli",3,113,17,33.0556,35.038067
"58","israchz091121G","med","Nemipterus randalli",1,129,16,33.059217,35.041
"59","israchz091121G","med","Dentex macrophthalmus",1,129,16,33.059217,35.041
"60","israchz091121G","med","Dentex maroccanus",3,129,16,33.059217,35.041
"61","israchz091121H","med","Balistes capriscus",1,41.4,24,33.04765,35.062633
"62","israchz091121H","med","Caranx crysos",6,41.4,24,33.04765,35.062633
"63","israchz091121H","med","Seriola dumerili",3,41.4,24,33.04765,35.062633
"64","israchz091121H","med","Lagocephalus guentheri",3,41.4,24,33.04765,35.062633
"65","israchz091121H","med","Lagocephalus sceleratus",6,41.4,24,33.04765,35.062633
"66","israchz091121I","med","Seriola dumerili",1,44.1,22,33.054317,35.07035
"67","israchz091121I","med","Nemipterus randalli",4,44.1,22,33.054317,35.07035
"68","israchz091121I","med","Lagocephalus suezensis",16,44.1,22,33.054317,35.07035
"69","israchz091121J","med","Coris julis",7,8.7,24,33.034633,35.079383
"70","israchz091121J","med","Thalassoma pavo",4,8.7,24,33.034633,35.079383
"71","israchz091121J","med","Parupeneus forsskali",8,8.7,24,33.034633,35.079383
"72","israchz091121J","med","Rhinoptera marginata",3,8.7,24,33.034633,35.079383
"73","israchz091121J","med","Serranus scriba",1,8.7,24,33.034633,35.079383
"74","israchz091121J","med","Siganus rivulatus",13,8.7,24,33.034633,35.079383
"75","israchz091121J","med","Pagrus caeruleostictus",2,8.7,24,33.034633,35.079383
"76","israchz091121J","med","Lagocephalus sceleratus",1,8.7,24,33.034633,35.079383
"77","israchz131119A","med","Gobius bucchichi",3,22.6,24,33.042758,35.080116
"78","israchz131119A","med","Coris julis",2,22.6,24,33.042758,35.080116
"79","israchz131119A","med","Parupeneus forsskali",42,22.6,24,33.042758,35.080116
"80","israchz131119A","med","Lagocephalus sceleratus",1,22.6,24,33.042758,35.080116
"81","israchz131119A","med","Torquigener flavimaculosus",1,22.6,24,33.042758,35.080116
"82","israchz260422A","med","Coris julis",3,9.6,18,33.041717,35.0849
