"","depth","site","lon","lat","sample","C.pachyclados","K.utimonii","L.depressum","R..f..fulvum","S.auritum","S.glaucum","S.cruciata","S.erecta","S.hirta","S.humesai","X.S.levi","S.leptoclados","S.licroclados","S.polydactyla","S.portieri","S.querciformis","S.recurvata","S.terspilli","S.vrijmoethi","Litophyton.sp.","P.thyrsoides","S.corymbosa","S.lewinsohni","Siphonogorgia.sp.","Anthelia.sp.","Ovabunda.sp.","Xenia.sp.","J.juncea","B.hamrum","T.musica"
"1",35,"NR",NA,NA,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,60,0,0,1
"2",35,"NR",NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,4,0,0,0
"3",35,"NR",NA,NA,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0
"4",35,"NR",NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,25,0,0,0,0
"5",35,"NR",NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,4,0,0,0,0
"6",35,"NR",NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,59,0,0,0,0
"7",35,"NR",NA,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0
"8",40,"NR",NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7,0,0,0
"9",40,"NR",NA,NA,9,0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",40,"NR",NA,NA,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"11",40,"NR",NA,NA,11,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
"12",40,"NR",NA,NA,12,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,115,0,0,0
"13",40,"NR",NA,NA,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,4,0,0,0,0
"14",40,"NR",NA,NA,14,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
"15",45,"NR",NA,NA,15,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,63,0,0,0
"16",45,"NR",NA,NA,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,33,0,0,5,2
"17",45,"NR",NA,NA,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18",45,"NR",NA,NA,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
"19",45,"NR",NA,NA,19,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,1
"20",45,"NR",NA,NA,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"21",45,"NR",NA,NA,21,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,47,0,0,2,1
"22",35,"IUI",NA,NA,22,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,3,0
