"","site","depth","plot","lon","lat","Acanthastrea echinata","Acropora samoensis","Acropora sp.","Acropora valida","Acropora variolosa","Cyphastrea chalcidicum","Cyphastrea microphthalma","Cyphastrea serailia","Dipsastraea albida","Dipsastraea danae","Dipsastraea favus","Dipsastraea laxa","Dipsastraea matthai","Dipsastraea pallida","Dipsastraea sp.","Dipsastraea speciosa","Echinopora forskaliana","Echinopora fruticulosa","Favites halicora","Favites pentagona","Favites sp.","Goniastrea edwardsi","Goniastrea pectinata","Goniastrea retiformis","Hydnophora exesa","Leptastrea purpurea","Millepora dichotoma","Millepora exaesa","Montipora cryptus","Montipora informis","Montipora verrucosa","Paramontastraea peresi","Pavona varians","Platygyra crosslandi","Platygyra daedalea","Platygyra lamellina","Platygyra sinensis","Plesiastrea versipora","Pleuractis granulosa","Pocillopora sp.","Porites sp.","Psammocora profundacella","Sclerophyllia margariticola","Stylophora pistillata","Stylophora sp.","Acropora eurystoma","Coscinaraea monile","Favites vasta","Goniastrea sp.","merulinid ","merulinid sp.","Favites abdita","Favites micropentagonus","Favites rotundata","Leptastrea transversa","Platygyra sp.","Pocillopora damicornis","Acropora squarrosa","Favites complanata","Lobophyllia hataii","Lobophyllia hemprichii","Pocillopora verrucosa","Siderastrea savignyana","Alveopora allingi","Astreopora gracilis","Astreopora myriophthalma","Cyphastrea sp.","Dipsastraea amicorum","Echinophyllia aspera","Gyrosmilia interrupta","Montipora danae","Pavona decussata","Platygyra acuta","Porites lobata","Porites lutea","fungiid sp.","Alveopora daedalea","Leptastrea inaequalis","Montipora meandrina","Montipora sp.","Montipora venosa","Porites fontanesii","Porites solida","Porites sp. ","Stylocoeniella guentheri","Stylophora sp. ","Stylophora subseriata","Echinophyllia bulbosa","Montipora stilosa","Montipora tuberculosa","Porites nodifera","fungiid ","Galaxea fascicularis","Lobophyliid ","Platygyra sp. ","Porites columnaris","Turbinaria  reniformis","Leptoseris mycetoseroides","Plerogyra sinuosa","Rhizopsammia wettsteini","Tubastraea micranthus","Alveopora ocellata","Seriatopora hystrix","Cynarina lacrymalis","porites fontanesii","Gardinoseris planulata","Blastomussa merleti","Leptoseris yabei","Porites ","Caulastraea tumida","Alveopora sp.","Blastomussa sp.","Goniopora columna","Leptoseris glabra","Leptoseris incrustans","Leptoseris sp.","Madracis kirbyi","Merulina scheeri","Mycedium elephantotus","Pachyseris speciosa","Psammocora nierstraszi","Stylocoeniella armata","Stylophora kuehlmanni","Stylophora mamillata","Trachyphyllia geoffroyi","Agariciid ","Dipsastraea ","Euphyllia paradivisa","Pavona explanulata","Plesiastrea profundacella","Echinophyllia echinata","Echinopora lamellosa","lobophyllia hemprichii","paragoniastrea russelli","Pavona cactus","Craterastrea levis","Echinophyllia sp.","Echinopora sp.","unidentified ","Favites ","Stylophora ","Cynarina  lacrymalis","Podabacia crustacea","Podabacia sinai","Echinopora gemmacea","Montipora sp","Oxypora lacera"
"1","IUI",5,1,NA,NA,2,1,1,1,1,10,3,3,2,5,7,3,2,4,5,2,5,2,8,1,3,13,3,9,1,16,1,21,1,3,2,2,1,3,2,5,3,1,1,1,1,1,1,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","IUI",5,2,NA,NA,1,0,0,0,0,5,2,2,3,12,7,2,6,7,9,2,0,0,1,0,0,2,1,3,0,5,0,24,0,0,0,2,0,1,0,4,0,0,0,0,3,0,0,26,4,1,3,3,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","IUI",5,3,NA,NA,0,0,0,1,1,5,3,5,4,9,7,1,4,7,4,1,0,0,4,0,1,2,1,1,0,8,0,20,0,0,1,1,0,2,2,6,0,1,0,0,3,0,1,50,3,0,5,1,1,8,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","IUI",5,4,NA,NA,6,0,0,0,0,9,3,3,2,9,6,4,7,6,4,2,2,0,12,0,2,13,8,2,0,23,0,33,1,0,0,1,0,4,4,8,1,0,0,0,2,1,3,22,4,0,3,2,2,7,0,4,1,0,2,3,3,1,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","IUI",5,5,NA,NA,4,0,0,1,3,24,2,4,2,11,5,3,5,6,6,5,3,0,8,0,4,10,4,12,0,20,0,30,1,1,1,1,1,6,1,7,7,1,0,0,1,0,0,14,0,1,2,1,0,0,0,0,1,2,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","IUI",15,1,NA,NA,2,0,0,9,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,1,0,2,0,0,4,2,10,1,0,2,16,1,3,0,0,0,0,0,0,1,2,0,8,0,0,4,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,2,1,1,2,3,1,1,8,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","IUI",15,2,NA,NA,8,0,0,5,0,4,4,3,0,9,11,3,1,2,5,0,1,2,2,1,2,0,1,0,0,7,0,20,2,0,4,23,0,2,0,2,0,3,0,0,5,0,6,8,0,2,2,1,0,7,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,2,0,0,15,1,6,0,0,5,0,1,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","IUI",15,3,NA,NA,4,0,0,7,2,2,3,2,0,2,7,3,1,3,2,0,3,2,4,0,1,0,0,0,0,5,1,10,1,2,2,14,1,2,0,1,0,0,0,0,13,0,0,12,2,0,3,2,0,2,0,1,1,0,0,0,1,3,2,0,0,2,0,0,0,2,3,0,1,13,1,1,1,0,3,0,0,1,0,0,0,0,2,1,3,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","IUI",15,4,NA,NA,5,2,0,0,0,1,6,4,0,1,3,1,0,3,1,0,4,0,1,0,2,1,1,0,0,3,0,8,1,1,1,10,1,2,1,3,0,1,0,1,3,0,0,6,2,0,3,0,0,5,1,0,0,0,1,0,1,2,0,0,0,1,3,0,0,0,3,0,2,16,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","IUI",15,5,NA,NA,0,2,0,4,1,0,1,1,0,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,1,12,1,2,1,6,0,0,0,1,0,1,0,0,1,0,1,4,0,0,0,1,0,4,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,2,1,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
