"OpCode","Family","species","MaxN","depth","temperature","sea","n_measure","min_FL","mean_FL","max_FL","sd_FL","se_FL","MoE_FL","ci_low","ci_high"
"israchz040221A","Carangidae","Seriola dumerili",2,11.4,18,"med",2,965.93,1026.65,1087.37,85.87,60.72,119.02,907.64,1145.67
"israchz040221A","Labridae","Coris julis",14,11.4,18,"med",3,45.55,77.08,100.22,28.29,16.33,32.01,45.07,109.09
"israchz040221A","Labridae","Thalassoma pavo",1,11.4,18,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz040221A","Mullidae","Parupeneus forsskali",3,11.4,18,"med",2,78.8,124.58,170.37,64.75,45.78,89.74,34.84,214.32
"israchz040221A","Tetraodontidae","Lagocephalus sceleratus",3,11.4,18,"med",3,414.8,485.92,559.47,72.36,41.78,81.89,404.03,567.8
"israchz040221A","Tetraodontidae","Torquigener flavimaculosus",4,11.4,18,"med",1,64.59,64.59,64.59,NA,NA,NA,NA,NA
"israchz040221B","Labridae","Coris julis",2,20.4,18,"med",2,51.38,59.02,66.66,10.81,7.64,14.98,44.04,73.99
"israchz040221B","Labridae","Thalassoma pavo",1,20.4,18,"med",1,80.28,80.28,80.28,NA,NA,NA,NA,NA
"israchz040221B","Scorpaenidae","Pterois miles",1,20.4,18,"med",0,NA,NA,NA,NA,NA,NA,NA,NA
"israchz040221B","Serranidae","Epinephelus costae",3,20.4,18,"med",3,208.79,235.54,260.71,26,15.01,29.42,206.12,264.96
"israchz040221B","Siganidae","Siganus luridus",5,20.4,18,"med",5,164.87,196.94,238.09,31.57,14.12,27.67,169.27,224.62
"israchz040221B","Sparidae","Pagrus caeruleostictus",2,20.4,18,"med",1,177.6,177.6,177.6,NA,NA,NA,NA,NA
"israchz040221B","Tetraodontidae","Lagocephalus sceleratus",5,20.4,18,"med",5,355.19,447.52,499.44,58.78,26.29,51.52,396,499.05
"israchz040221B","Tetraodontidae","Torquigener flavimaculosus",3,20.4,18,"med",2,121.29,125.05,128.8,5.31,3.75,7.36,117.69,132.4
"israchz040221C","Fistulariidae","Fistularia commersonii",1,33.9,18,"med",1,730.04,730.04,730.04,NA,NA,NA,NA,NA
"israchz040221C","Serranidae","Epinephelus costae",2,33.9,18,"med",2,361.67,399.42,437.16,53.38,37.75,73.98,325.44,473.4
"israchz040221C","Sparidae","Pagrus caeruleostictus",1,33.9,18,"med",1,190.67,190.67,190.67,NA,NA,NA,NA,NA
"israchz040221C","Tetraodontidae","Lagocephalus sceleratus",5,33.9,18,"med",5,351.32,454.8,550.48,73.94,33.07,64.81,389.98,519.61
"israchz040221D","Tetraodontidae","Lagocephalus guentheri",3,51.4,18,"med",1,238.07,238.07,238.07,NA,NA,NA,NA,NA
"israchz040221D","Tetraodontidae","Lagocephalus sceleratus",1,51.4,18,"med",1,397.23,397.23,397.23,NA,NA,NA,NA,NA
