sea,OpCode,lat_y,lon_x
med,isrnaha121119A,33.012169,35.08369
med,israchz131119A,33.042758,35.080116
med,isrrosh141119B,33.064705,35.0929
med,isrnaha141119A,33.013397,35.078846
med,isrsdot201119A,32.488014,34.879982
med,isrsdot201119B,32.48626,34.88141
red,isrnort230220A,29.544383,34.964333
red,isrnort230220B,29.543083,34.96355
red,isrnort230220C,29.544383,34.964333
red,isrnort230220D,29.540413,34.96189
red,isrnort230220E,29.535736,34.96004
red,isrnort230220F,29.533348,34.958805
red,isrwest240220A,29.50192,34.91827
red,isrwest240220B,29.49592,34.91016
red,isrwest240220C,29.49511,34.91321
red,isrwest240220D,29.49084,34.90939
red,isrwest240220E,29.49217,34.91415
red,isrwest240220F,29.49311,34.91629
red,isrnort130520A,29.54525,34.9649
red,isrnort130520B,29.5435,34.9646
red,isrnort130520C,29.539167,34.964033
red,isrnort130520D,29.537383,34.960617
red,isrnort130520E,29.534133,34.96015
red,isrnort130520F,29.534083,34.955683
red,isrnort130520G,29.540717,34.9585
red,isrwest140520A,29.506717,34.921067
red,isrwest140520B,29.50955,34.924433
red,isrwest140520C,29.5037,34.919817
red,isrwest140520D,29.50695,34.923683
red,isrwest140520E,29.500833,34.922017
red,isrwest140520F,29.4991,34.922267
red,isrnort010920A,29.534283,34.954783
red,isrnort010920B,29.533467,34.958767
red,isrnort010920C,29.5352,34.959617
red,isrnort010920D,29.536483,34.963933
red,isrnort010920E,29.539467,34.967567
red,isrnort010920F,29.5422,34.9673
red,isrnort010920G,29.542883,34.97335
red,isrwest020920A,29.5291,34.94395
red,isrwest020920B,29.532133,34.946217
red,isrwest020920C,29.534383,34.9482
red,isrwest020920D,29.536583,34.94875
red,isrwest020920E,29.538383,34.949417
red,isrwest020920F,29.536067,34.946767
red,isrwest020920G,29.537133,34.945933
med,isrrosh071020A,33.0711,35.092733
med,isrrosh071020B,33.07265,35.089417
med,isrrosh071020C,33.077767,35.072017
med,isrrosh071020D,33.076467,35.064433
med,isrrosh071020E,33.077183,35.062183
med,isrrosh071020F,33.0779,35.060533
med,isrrosh071020G,33.072983,35.063183
med,isrrosh071020H,33.077867,35.089367
med,isrrosh081020A,33.05735,35.090467
med,isrrosh081020B,33.05965,35.0865
med,isrrosh081020C,33.060267,35.076517
med,isrrosh081020D,33.0584,35.062983
med,isrrosh081020E,33.0588,35.0533
med,isrrosh081020F,33.059767,35.049167
med,isrrosh081020G,33.05865,35.040067
med,isrrosh081020H,33.05595,35.0792
red,isrnort231220A,29.5304,34.966033
red,isrnort231220B,29.53105,34.966033
red,isrnort231220C,29.530133,34.9652
red,isrnort231220D,29.531333,34.967117
red,isrnort231220E,29.533717,34.968417
red,isrnort231220F,29.53745,34.97085
red,isrnort231220G,29.541517,34.972517
red,isrnort231220H,29.542183,34.973833
red,isrnort231220I,29.531767,34.968967
