campaign,OpCode,depth,lat_y,lon_x,Type1 (category),subtype (%),,photo,Visibility,,,Chunk ,substrate,precent_cover
Chaikin_phd_Red,isrnort230220A,13.7,29.544383,34.964333,,,,התקייה ריקה חוץ מקובץ readme,,,,1,NA,
Chaikin_phd_Red,isrnort230220B,28.2,29.543083,34.96355,,,,V,good,,,1,sea_grass,2
Chaikin_phd_Red,isrnort230220C,15.2,29.544383,34.964333,,,,V,good,,,1,sea_grass,3
Chaikin_phd_Red,isrnort230220D,47.8,29.540413,34.96189,,,,V,good,,,1,sand,3
Chaikin_phd_Red,isrnort230220E,72.4,29.535736,34.96004,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort230220F,91.8,29.533348,34.958805,,,,V,low,,,1,corals,1
Chaikin_phd_Red,isrwest240220A,10,29.50192,34.91827,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest240220B,20,29.49592,34.91016,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest240220C,40.4,29.49511,34.91321,,,,V,good,,,1,corals,2
Chaikin_phd_Red,isrwest240220D,60.9,29.49084,34.90939,,,,V,good,,,1,algae,2
Chaikin_phd_Red,isrwest240220E,76.6,29.49217,34.91415,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest240220F,103.7,29.49311,34.91629,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort130520A,16.4,29.54525,34.9649,,,,V,good,,,1,sea_grass,2
Chaikin_phd_Red,isrnort130520B,29.7,29.5435,34.9646,,,,V,good,,,1,sea_grass,1
Chaikin_phd_Red,isrnort130520C,47.5,29.539167,34.964033,,,,V,good,,,1,algae,1
Chaikin_phd_Red,isrnort130520D,69.4,29.537383,34.960617,,,,V,low,,,1,sand,3
Chaikin_phd_Red,isrnort130520E,83.3,29.534133,34.96015,,,,V,low,,,1,corals,1
Chaikin_phd_Red,isrnort130520F,115,29.534083,34.955683,,,,V,good,,,1,sand,3
Chaikin_phd_Red,isrnort130520G,54.6,29.540717,34.9585,,,,V,good,,,1,algae,1
Chaikin_phd_Red,isrwest140520A,10.7,29.506717,34.921067,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest140520B,26.8,29.50955,34.924433,,,,V,good,,,1,corals,3
Chaikin_phd_Red,isrwest140520C,53.8,29.5037,34.919817,,,,V,good,,,1,corals,1
Chaikin_phd_Red,isrwest140520D,68.9,29.50695,34.923683,,,,NA בתקייה,,,,1,NA,
Chaikin_phd_Red,isrwest140520E,83,29.500833,34.922017,,,,V,low,,,1,sand,3
