Name,Site,Depth,Habitat,Orientation,Coral,Sponge,Other,Algae,Substrate
00999 26qua60.3.jpg,Oil Jetty,60,Mesophotic,VAR,3,7,4,78,8
224 0657.50m.qua35.jpg,Oil Jetty,50,Mesophotic,VER,63,0,1,3,33
224 0942.50m.qua19.jpg,Oil Jetty,50,Mesophotic,MID,16,0,1,57,26
224 1501.50m.qua22.jpg,Oil Jetty,50,Mesophotic,MID,8,5,0,43,44
227 1627.50m.qua33.jpg,Oil Jetty,50,Mesophotic,MID,4,0,0,58,38
228 1402qua60.7.jpg,Oil Jetty,60,Mesophotic,VAR,0,11,6,63,20
228 1596qua60.8.jpg,Oil Jetty,60,Mesophotic,VAR,23,7,7,55,8
228 1848qua60.9.jpg,Oil Jetty,60,Mesophotic,VAR,4,14,7,56,19
229 0527qua60.10.jpg,Oil Jetty,60,Mesophotic,VAR,6,20,4,49,21
229 0899qua60.11.jpg,Oil Jetty,60,Mesophotic,VAR,2,2,5,68,23
229 1345qua60.12.jpg,Oil Jetty,60,Mesophotic,HOR,17,0,7,52,24
229 1514qua60.13.jpg,Oil Jetty,60,Mesophotic,MID,8,2,5,70,15
229 1789qua60.14.jpg,Oil Jetty,60,Mesophotic,VAR,13,1,5,71,10
230 1272qua60.16.jpg,Oil Jetty,60,Mesophotic,VAR,0,15,1,75,9
230 1798qua60.19.jpg,Oil Jetty,60,Mesophotic,VAR,0,7,17,48,28
230 2034qua60.20.jpg,Oil Jetty,60,Mesophotic,MID,7,2,2,65,24
231 0018qua60.21.jpg,Oil Jetty,60,Mesophotic,MID,4,0,5,74,17
231 0298qua60.22.jpg,Oil Jetty,60,Mesophotic,VAR,2,5,3,81,9
231 0859qua60.23.jpg,Oil Jetty,60,Mesophotic,MID,11,0,2,34,53
231 1048qua60.24.jpg,Oil Jetty,60,Mesophotic,VAR,15,1,5,57,22
231 1689qua60.25.jpg,Oil Jetty,60,Mesophotic,MID,6,0,2,65,27
231 1975qua60.27.jpg,Oil Jetty,60,Mesophotic,HOR,16,0,0,4,80
232 0444qua60.29.jpg,Oil Jetty,60,Mesophotic,VAR,12,0,10,71,7
232 0653qua60.30.jpg,Oil Jetty,60,Mesophotic,VAR,5,2,3,84,6
232 0814qua60.31.jpg,Oil Jetty,60,Mesophotic,VAR,3,4,3,71,19
232 1096qua60.32.jpg,Oil Jetty,60,Mesophotic,VAR,0,10,12,70,8
232 1445qua60.33.jpg,Oil Jetty,60,Mesophotic,VAR,4,23,2,40,31
234 0970qua70.1.jpg,Oil Jetty,70,Mesophotic,VAR,1,3,1,58,37
234 1260qua70.2.jpg,Oil Jetty,70,Mesophotic,VAR,2,1,2,65,30
234 1727qua70.3.jpg,Oil Jetty,70,Mesophotic,VAR,9,13,7,61,10
235 0098qua70.4.jpg,Oil Jetty,70,Mesophotic,VAR,0,2,4,80,14
235 0492qua70.5.jpg,Oil Jetty,70,Mesophotic,VAR,0,3,6,55,36
235 0957qua70.6.jpg,Oil Jetty,70,Mesophotic,VAR,13,3,18,54,12
235 1165qua70.7.jpg,Oil Jetty,70,Mesophotic,MID,6,4,13,33,44
235 1663qua70.8.jpg,Oil Jetty,70,Mesophotic,VAR,0,41,11,20,28
236 0370qua70.9.jpg,Oil Jetty,70,Mesophotic,VAR,0,10,6,55,29
236 0864qua70.10.jpg,Oil Jetty,70,Mesophotic,VAR,1,6,6,44,43
236 1053qua70.11.jpg,Oil Jetty,70,Mesophotic,VAR,1,20,4,59,16
236 1409qua70.12.jpg,Oil Jetty,70,Mesophotic,VAR,0,13,3,49,35
237 0003qua70.13.jpg,Oil Jetty,70,Mesophotic,VAR,1,26,14,41,18
237 0269qua70.14.jpg,Oil Jetty,70,Mesophotic,VAR,1,12,11,43,33
237 0437qua70.15.jpg,Oil Jetty,70,Mesophotic,VAR,0,7,3,74,16
237 0680qua70.16.jpg,Oil Jetty,70,Mesophotic,VAR,0,10,4,72,14
237 0977QUA70.17.jpg,Oil Jetty,70,Mesophotic,VAR,1,4,1,37,57
237 1260qua70.18.jpg,Oil Jetty,70,Mesophotic,VAR,5,6,2,35,52
237 1562qua70.19.jpg,Oil Jetty,70,Mesophotic,VAR,1,5,4,66,24
239 0074qua70.20.jpg,Oil Jetty,70,Mesophotic,MID,13,7,8,27,45
239 0328qua70.21.jpg,Oil Jetty,70,Mesophotic,VAR,9,15,5,31,40
239 0585qua70.22.jpg,Oil Jetty,70,Mesophotic,VAR,0,11,3,51,35
239 0674qua70.23.jpg,Oil Jetty,70,Mesophotic,VAR,1,9,5,64,21
239 1065qua70.24.jpg,Oil Jetty,70,Mesophotic,MID,17,2,0,48,33
239 1292qua70.25.jpg,Oil Jetty,70,Mesophotic,MID,9,0,3,63,25
239 1593qua70.26.jpg,Oil Jetty,70,Mesophotic,VAR,2,15,5,56,22
239 1754qua70.27.jpg,Oil Jetty,70,Mesophotic,VAR,1,0,5,74,20
240 0697qua70.29.jpg,Oil Jetty,70,Mesophotic,VAR,18,0,10,68,4
240 0967QUA70.30.jpg,Oil Jetty,70,Mesophotic,MID,8,5,0,62,25
240 1455qua70.31.jpg,Oil Jetty,70,Mesophotic,MID,21,1,17,27,34
241 0113qua70.32.jpg,Oil Jetty,70,Mesophotic,VAR,11,8,2,58,21
7233.50m.qua2.jpg,Oil Jetty,50,Mesophotic,VER,8,22,16,31,23
7242.50m.qua3.jpg,Oil Jetty,50,Mesophotic,MID,33,1,0,24,42
7255.50m.qua4.jpg,Oil Jetty,50,Mesophotic,VER,13,0,2,66,19
7267.50m.qua5.jpg,Oil Jetty,50,Mesophotic,VER,27,2,9,39,23
7279.50m.qua6.jpg,Oil Jetty,50,Mesophotic,VER,2,11,5,78,4
7293.jpg.50m.qua8.jpg,Oil Jetty,50,Mesophotic,HOR,25,0,1,10,64
7303.50m.qua9.jpg,Oil Jetty,50,Mesophotic,MID,21,0,7,36,36
7317.50m.qua10.jpg,Oil Jetty,50,Mesophotic,VER,12,0,5,47,36
7327.50m.qua12.jpg,Oil Jetty,50,Mesophotic,VER,14,2,0,12,72
7334.50m.qua13.jpg,Oil Jetty,50,Mesophotic,VER,22,4,0,43,31
7339.50m.qua14.jpg,Oil Jetty,50,Mesophotic,VER,10,2,1,58,29
7349.50m.qua15.jpg,Oil Jetty,50,Mesophotic,VER,1,8,8,77,6
7366.50m.qua17.jpg,Oil Jetty,50,Mesophotic,VER,12,3,6,60,19
