Site,Depth,Plot,ID,Genus,Species,Comment
IUI,5,1,1,Goniastrea,edwardsi,
IUI,5,1,2,Millepora,exaesa,
IUI,5,1,3,Stylophora,pistillata,
IUI,5,1,4,Dipsastraea,albida,
IUI,5,1,5,Echinopora,forskaliana,
IUI,5,1,6,Goniastrea,retiformis,
IUI,5,1,7,Stylophora,pistillata,
IUI,5,1,8,Stylophora,sp.,too small to id
IUI,5,1,9,Pavona,varians,
IUI,5,1,10,Dipsastraea,laxa,
IUI,5,1,11,Favites,sp.,too small to id
IUI,5,1,12,Goniastrea,retiformis,
IUI,5,1,13,Dipsastraea,favus,
IUI,5,1,14,Stylophora,pistillata,
IUI,5,1,15,Millepora,dichotoma,
IUI,5,1,16,Goniastrea,edwardsi,
IUI,5,1,17,Millepora,exaesa,
IUI,5,1,18,Stylophora,sp.,too small to id
IUI,5,1,19,Stylophora,sp.,too small to id
IUI,5,1,20,Montipora,informis,
IUI,5,1,21,Platygyra,daedalea,
IUI,5,1,22,Dipsastraea,sp.,too small to id
IUI,5,1,23,Echinopora,fruticulosa,
IUI,5,1,24,Platygyra,sinensis,
IUI,5,1,25,Favites,halicora,
IUI,5,1,26,Acropora,variolosa,
IUI,5,1,27,Montipora,verrucosa,
IUI,5,1,28,Stylophora,pistillata,
IUI,5,1,29,Goniastrea,retiformis,
IUI,5,1,30,Psammocora,profundacella,
IUI,5,1,31,Cyphastrea,chalcidicum,
IUI,5,1,32,Pleuractis,granulosa,
IUI,5,1,33,Stylophora,pistillata,
IUI,5,1,34,Stylophora,sp.,too small to id
IUI,5,1,35,Cyphastrea,chalcidicum,
IUI,5,1,36,Leptastrea,purpurea,
IUI,5,1,37,Goniastrea,retiformis,
IUI,5,1,38,Millepora,exaesa,
IUI,5,1,39,Platygyra,lamellina,
IUI,5,1,40,Stylophora,pistillata,
IUI,5,1,41,Echinopora,forskaliana,
IUI,5,1,42,Leptastrea,purpurea,
IUI,5,1,43,Cyphastrea,microphthalma,
IUI,5,1,44,Dipsastraea,sp.,too small to id
IUI,5,1,45,Montipora,cryptus,
IUI,5,1,46,Rhytisma,Octocorallia,Octocorallia
IUI,5,1,47,Dipsastraea,danae,
IUI,5,1,48,Pocillopora,sp.,too small to id
IUI,5,1,49,Millepora,exaesa,
IUI,5,1,50,Goniastrea,edwardsi,
IUI,5,1,51,Stylophora,pistillata,
IUI,5,1,52,Millepora,exaesa,
IUI,5,1,53,Favites,halicora,
IUI,5,1,54,Platygyra,lamellina,
IUI,5,1,55,Millepora,exaesa,
IUI,5,1,56,Dipsastraea,sp.,too small to id
IUI,5,1,57,Favites,sp.,too small to id
IUI,5,1,58,Dipsastraea,favus,
IUI,5,1,59,Stylophora,pistillata,
IUI,5,1,60,Favites,halicora,
IUI,5,1,61,Goniastrea,edwardsi,
IUI,5,1,62,Goniastrea,edwardsi,
IUI,5,1,63,Goniastrea,retiformis,
IUI,5,1,64,Stylophora,pistillata,
IUI,5,1,65,Stylophora,pistillata,
IUI,5,1,66,Lobophytum ,Octocorallia,Octocorallia
IUI,5,1,67,Millepora,exaesa,
IUI,5,1,68,Cyphastrea,chalcidicum,
IUI,5,1,69,Cyphastrea,microphthalma,
IUI,5,1,70,Dipsastraea,favus,
IUI,5,1,71,Millepora,exaesa,
IUI,5,1,72,Goniastrea,edwardsi,
IUI,5,1,73,Rhytisma,Octocorallia,Octocorallia
IUI,5,1,74,Dipsastraea,favus,
IUI,5,1,75,Dipsastraea,danae,
IUI,5,1,76,Acropora,samoensis,
IUI,5,1,77,Cyphastrea,chalcidicum,
IUI,5,1,78,Stylophora,pistillata,
IUI,5,1,79,Stylophora,pistillata,
IUI,5,1,80,Stylophora,pistillata,
IUI,5,1,81,Cyphastrea,serailia,
IUI,5,1,82,Dipsastraea,favus,
IUI,5,1,83,Dipsastraea,pallida,
IUI,5,1,84,Dipsastraea,matthai,
IUI,5,1,85,Goniastrea,pectinata,
IUI,5,1,86,Goniastrea,edwardsi,
IUI,5,1,87,Leptastrea,purpurea,
IUI,5,1,88,Acanthastrea,echinata,
IUI,5,1,89,Rhytisma,Octocorallia,Octocorallia
IUI,5,1,90,Millepora,exaesa,
IUI,5,1,91,Leptastrea,purpurea,
IUI,5,1,92,Platygyra,lamellina,
IUI,5,1,93,Goniastrea,pectinata,
IUI,5,1,94,Plesiastrea,versipora,
IUI,5,1,95,Echinopora,forskaliana,
IUI,5,1,96,Dipsastraea,favus,
IUI,5,1,97,Leptastrea,purpurea,
IUI,5,1,98,Favites,halicora,
IUI,5,1,99,Cyphastrea,chalcidicum,
IUI,5,1,100,Echinopora,forskaliana,
IUI,5,1,101,Leptastrea,purpurea,
IUI,5,1,102,Millepora,exaesa,
IUI,5,1,103,Platygyra,sinensis,
IUI,5,1,104,Platygyra,crosslandi,
IUI,5,1,105,Millepora,exaesa,
IUI,5,1,106,Stylophora,pistillata,
IUI,5,1,107,Dipsastraea,pallida,
IUI,5,1,108,Goniastrea,edwardsi,
IUI,5,1,109,Cyphastrea,chalcidicum,
IUI,5,1,110,Platygyra,lamellina,
IUI,5,1,111,Millepora,exaesa,
IUI,5,1,112,Leptastrea,purpurea,
IUI,5,1,113,Favites,halicora,
IUI,5,1,114,Stylophora,pistillata,
IUI,5,1,115,Dipsastraea,pallida,
IUI,5,1,116,Leptastrea,purpurea,
IUI,5,1,117,Stylophora,pistillata,
IUI,5,1,118,Cyphastrea,chalcidicum,
IUI,5,1,119,Dipsastraea,laxa,
IUI,5,1,120,Platygyra,daedalea,
IUI,5,1,121,Stylophora,pistillata,
IUI,5,1,122,Goniastrea,edwardsi,
IUI,5,1,123,Dipsastraea,matthai,
IUI,5,1,124,Platygyra,crosslandi,
IUI,5,1,125,Goniastrea,retiformis,
IUI,5,1,126,Leptastrea,purpurea,
IUI,5,1,127,Montipora,verrucosa,
IUI,5,1,128,Dipsastraea,danae,
IUI,5,1,129,Goniastrea,edwardsi,
IUI,5,1,130,Dipsastraea,laxa,
IUI,5,1,131,Dipsastraea,speciosa,
IUI,5,1,132,Millepora,exaesa,
